age,salary,tenure_years,months_since_last_promotion,absence_rate,overtime_hours,performance_rating,job_satisfaction,work_life_balance,career_growth,manager_support,compensation_satisfaction,attrition
24,42000,1.0,12,0.12,10,3,2,2,2,2,2,1
28,52000,3.0,18,0.10,8,3,2,3,2,3,2,1
32,68000,5.0,6,0.03,4,4,4,4,4,4,4,0
45,95000,12.0,8,0.02,3,4,4,4,4,4,4,0
26,47000,2.0,20,0.14,12,2,2,2,1,2,2,1
38,78000,8.0,14,0.05,6,3,3,3,3,3,3,0
30,59000,4.0,24,0.11,9,3,2,2,2,2,2,1
50,110000,18.0,10,0.01,2,5,5,4,4,5,5,0
35,72000,7.0,30,0.09,7,3,2,3,2,3,2,1
41,85000,10.0,5,0.03,5,4,4,4,4,4,4,0
