candidate,fold,engineered,best_C,threshold,inner_threshold_f2,pr_auc,roc_auc,precision,recall,f1,f2,balanced_accuracy,mcc,brier
LogisticRegression__raw,1,False,0.03,0.5199999999999998,0.6163113994439295,0.6458626685582797,0.8312161246612467,0.3829787234042553,0.75,0.5070422535211268,0.6293706293706294,0.7571138211382114,0.4075347683837774,0.16102816027202857
LogisticRegression__raw,2,False,0.03,0.48999999999999977,0.6293103448275862,0.6281087246357212,0.838499322493225,0.40217391304347827,0.7708333333333334,0.5285714285714286,0.6514084507042254,0.7736280487804879,0.43622362564783673,0.1635865998712027
LogisticRegression__raw,3,False,0.03,0.5599999999999997,0.6399235912129895,0.526334862053755,0.8006718924972004,0.39436619718309857,0.5957446808510638,0.4745762711864407,0.5405405405405406,0.7108278060125764,0.361055266902163,0.16723770398432156
LogisticRegression__raw,4,False,0.05,0.45999999999999985,0.6424344885883347,0.6896427021758075,0.8657076406236541,0.37755102040816324,0.7872340425531915,0.5103448275862069,0.6468531468531469,0.7701352399000776,0.4200176788505329,0.14505845145221608
LogisticRegression__raw,5,False,0.03,0.47999999999999976,0.6148590947907772,0.6272549017102594,0.8534757515720562,0.37142857142857144,0.8297872340425532,0.5131578947368421,0.6655290102389079,0.7812903781548799,0.4302855151679147,0.16416346901463216
LogisticRegression__raw,6,False,0.03,0.44999999999999984,0.6024590163934426,0.6398205459538456,0.8742378048780487,0.37383177570093457,0.8333333333333334,0.5161290322580645,0.6688963210702341,0.7804878048780488,0.43094263162621854,0.14959559629490543
LogisticRegression__raw,7,False,0.03,0.4199999999999998,0.6244963738920226,0.5717128183286877,0.8175813008130081,0.31343283582089554,0.875,0.46153846153846156,0.6441717791411042,0.7505081300813008,0.37181559604062636,0.1699420842256923
LogisticRegression__raw,8,False,0.05,0.3999999999999998,0.6458003169572107,0.6228519114748099,0.7882677233181152,0.3050847457627119,0.7659574468085106,0.43636363636363634,0.5882352941176471,0.7169868205702472,0.3244616855713247,0.15996266457516745
LogisticRegression__raw,9,False,0.05,0.48999999999999977,0.6489547038327527,0.6118275492867842,0.8202256869670084,0.32,0.6808510638297872,0.43537414965986393,0.5555555555555556,0.7027737100525454,0.31371709412646454,0.16926306558389442
LogisticRegression__raw,10,False,0.05,0.4299999999999998,0.5991902834008097,0.6226876758892742,0.8552846929106728,0.36036036036036034,0.851063829787234,0.5063291139240507,0.6688963210702341,0.7818072185373417,0.4260813061674379,0.15069833635502208
LogisticRegression__raw,11,False,0.05,0.5299999999999998,0.6077348066298343,0.5924075840498778,0.8332486449864498,0.3804347826086957,0.7291666666666666,0.5,0.6161971830985915,0.748729674796748,0.39653011096493235,0.1685236484374832
LogisticRegression__raw,12,False,0.01,0.47999999999999976,0.5985037406483791,0.7034539480107029,0.9015074525745257,0.3925233644859813,0.875,0.5419354838709678,0.7023411371237458,0.8053861788617886,0.4691965971147778,0.16467897514674307
